1,1
1,2
1,3
1,4
2,5
2,7
2,3
2,11
3,9
3,3
3,10
3,12
4,9
4,13
4,2
4,3
4,70
5,14
5,15
5,5
5,2
6,10
6,11
6,16
6,70
6,15
7,10
7,11
7,15
7,6
7,17
7,4
7,2
7,3
8,9
8,17
8,12
9,9
9,17
9,33
9,13
9,10
10,21
10,22
10,23
11,72
11,25
11,26
11,73
11,28
12,29
12,30
13,31
13,32
13,33
13,34
14,35
14,12
14,17
14,8
14,10
15,4
15,36
15,17
15,37
16,38
16,39
16,40
16,9
16,71
16,18
17,38
17,39
17,40
17,41
18,5
18,6
18,23
18,15
19,9
19,42
19,43
20,6
20,37
21,9
21,24
21,10
21,13
22,24
22,25
22,26
22,27
22,45
22,46
23,21
23,74
23,46
23,56
24,47
24,48
24,21
25,48
25,49
26,11
26,42
27,4
27,31
27,12
28,57
28,58
28,59
28,60
28,61
28,62
28,63
28,64
28,65
28,4
29,8
29,10
29,13
29,51
29,76
30,52
30,10
30,13
30,18
30,19
30,20
31,2
31,37
31,13
31,53
32,54
32,46
32,26
32,27
33,6
33,13
33,2
33,3
33,5
33,55
34,22
34,76
34,26
34,75
35,57
35,58
35,59
35,60
35,61
35,62
35,63
35,64
35,65
35,66
36,67
36,68
36,69
36,70
36,71
36,72
36,73
36,74
36,75
36,76
